ID,ISBN,Title,Author,PurchaseDate,MemberID
1,1234567890120,Book1,Author1,2020-06-02,0
2,1234567890121,Book2,Author2,2020-06-02,1234
3,1234567890122,Book3,Author3,2020-06-02,3401
4,1234567890123,Book4,Author4,2020-06-02,0
5,1234567890124,Book5,Author5,2020-06-02,0
6,1234567890125,Book6,Author6,2020-06-02,4561
7,1234567890125,Book6,Author6,2020-06-02,0
8,1234567890127,Book7,Author7,2020-06-02,0
9,1234567890128,Book8,Author8,2020-06-02,3451
10,1234567890129,Book9,Author9,2020-06-02,0
11,1234567890130,Book10,Author10,2020-06-02,0
12,1234567890130,Book10,Author10,2020-06-02,0
13,1234567890131,Book11,Author11,2020-06-02,0
14,1234567890133,Book12,Author12,2020-06-02,5432
15,1234567890134,Book13,Author13,2020-06-02,0
16,1234567890135,Book14,Author14,2020-06-02,0
17,1234567890136,Book15,Author15,2020-06-02,0
18,1234567890136,Book15,Author15,2020-06-02,0
19,1234567890138,Book16,Author16,2020-06-02,0
20,1234567890139,Book17,Author17,2020-06-02,0
